,pairs,p_values
387,"('AMJ', 'IEZ')",0.008715981470080143
388,"('AMJ', 'IGV')",0.04703437371455395
389,"('AMJ', 'IHI')",0.038760907390135144
390,"('AMJ', 'ILCG')",0.04751996432454073
391,"('AMJ', 'IPAY')",0.046753385691651356
392,"('AMJ', 'ITEQ')",0.03197188341614207
393,"('AMJ', 'IYH')",0.0483301691575935
394,"('AMJ', 'JDST')",0.00735953017115416
395,"('AMJ', 'JXI')",0.02557881474554631
396,"('AMJ', 'LABD')",0.040864600273919686
397,"('AMJ', 'MLPB')",1.7130559291187646e-07
398,"('AMJ', 'MLPO')",7.704470048675608e-08
399,"('AMLP', 'AMZA')",0.031141859358885558
400,"('AMLP', 'BBC')",0.045655329961180484
401,"('AMLP', 'DUST')",0.0033613387792087246
402,"('AMLP', 'ENZL')",0.023938317568941957
403,"('AMLP', 'FBT')",0.048553024577564434
404,"('AMLP', 'GDX')",0.007043794145334256
405,"('AMLP', 'GUSH')",0.042057694413135116
406,"('AMLP', 'ITEQ')",0.04093625199848195
407,"('AMLP', 'JDST')",0.00923401172482791
408,"('AMLP', 'MLPB')",5.947766510391396e-07
409,"('AMLP', 'MLPO')",2.5574083553719993e-06
410,"('AMUB', 'ATMP')",0.0004058330953576344
411,"('AMUB', 'DIG')",0.022195523973421727
412,"('AMUB', 'DUST')",0.04109057690560126
413,"('AMUB', 'DVYA')",0.022127975968923273
414,"('AMUB', 'ENFR')",0.009051893810684676
415,"('AMUB', 'ENZL')",0.04823763022861595
416,"('AMUB', 'EZA')",0.028969921415676673
417,"('AMUB', 'FENY')",0.02231848423364486
418,"('AMUB', 'GDX')",0.004927971764913724
419,"('AMUB', 'GDXJ')",0.034860141944614724
420,"('AMUB', 'GXG')",0.012666197319498286
421,"('AMUB', 'IDX')",0.03976191941377597
422,"('AMUB', 'IMLP')",0.007406694784338345
423,"('AMUB', 'IXC')",0.015622689621341342
424,"('AMUB', 'IYE')",0.012459726152120133
425,"('AMUB', 'JXI')",0.04864202836455582
426,"('AMUB', 'MLPB')",0.0016326008993431357
427,"('AMUB', 'MLPO')",9.785954051814823e-08
428,"('AMZA', 'DUST')",0.014995353121997514
429,"('AMZA', 'ENZL')",0.012584255462805975
430,"('AMZA', 'GDX')",0.02810271277884712
431,"('AMZA', 'ITEQ')",0.049632031692580646
432,"('AMZA', 'JDST')",0.03222554845092136
433,"('AMZA', 'MLPA')",0.01847330332249201
434,"('AMZA', 'MLPO')",0.008139497416765768
435,"('ARGT', 'ASHR')",0.04647501656352232
436,"('ARGT', 'ASHS')",0.036622019375052696
437,"('ARGT', 'ASHX')",0.04599484407092496
438,"('ARGT', 'CARZ')",0.028222825405136032
439,"('ARGT', 'CHAU')",0.03162189832511275
440,"('ARGT', 'CHII')",0.019816480146667606
441,"('ARGT', 'CHIM')",0.00913972758865723
442,"('ARGT', 'CIZ')",0.04082655718329351
443,"('ARGT', 'CNXT')",0.043737319203504536
444,"('ARGT', 'CSF')",0.04264222745908336
445,"('ARGT', 'DAX')",0.026952746813021736
446,"('ARGT', 'DFE')",0.023320346369100135
447,"('ARGT', 'DFJ')",0.042350139834136234
448,"('ARGT', 'DGS')",0.0235518654318774
449,"('ARGT', 'DIM')",0.01711369832318292
450,"('ARGT', 'DLS')",0.03625980185749427
451,"('ARGT', 'DOL')",0.01797149896685697
452,"('ARGT', 'DWM')",0.017102701674258227
453,"('ARGT', 'DXJ')",0.018719445154515093
454,"('ARGT', 'ECNS')",0.017943354322692874
455,"('ARGT', 'EEMO')",0.041118861672955746
456,"('ARGT', 'EFV')",0.029904586455676244
457,"('ARGT', 'EPI')",0.03537563622890376
458,"('ARGT', 'EPP')",0.04481226739260898
459,"('ARGT', 'EUFN')",0.029389972858983895
460,"('ARGT', 'EURL')",0.02590237755890492
461,"('ARGT', 'EWG')",0.01202667361804182
462,"('ARGT', 'EWI')",0.0013189363318502146
463,"('ARGT', 'EWK')",0.013972978077127687
464,"('ARGT', 'EWO')",0.02763566215969117
465,"('ARGT', 'EWUS')",0.027706954470675883
466,"('ARGT', 'EWY')",0.04788613922800504
467,"('ARGT', 'EZJ')",0.03361776322098017
468,"('ARGT', 'FDT')",0.021962398412892263
469,"('ARGT', 'FDTS')",0.008921029438838704
470,"('ARGT', 'FEM')",0.04405875615395139
471,"('ARGT', 'FEUZ')",0.032079852849441585
472,"('ARGT', 'FJP')",0.023283551913845024
473,"('ARGT', 'FKU')",0.027244795123133447
474,"('ARGT', 'FM')",0.037937631249557006
475,"('ARGT', 'FTAG')",0.021909238723598703
476,"('ARGT', 'GLIN')",0.04045313339316113
477,"('ARGT', 'GREK')",0.03178568780122635
478,"('ARGT', 'GWX')",0.04407767639275182
479,"('ARGT', 'HEWJ')",0.0369306003471697
480,"('ARGT', 'IDLB')",0.03706865096919711
481,"('ARGT', 'IDOG')",0.017616512903029825
482,"('ARGT', 'IFV')",0.03601259561834381
483,"('ARGT', 'INCO')",0.04116076886887468
484,"('ARGT', 'INTF')",0.01842236982015941
485,"('ARGT', 'IQDF')",0.04479930385221053
486,"('ARGT', 'IVLU')",0.016511276746305037
487,"('ARGT', 'JNUG')",0.03322142855994798
488,"('ARGT', 'JPEM')",0.0330817117536848
489,"('ARGT', 'JPIN')",0.029778500639885054
490,"('ARGT', 'KBA')",0.03880651662668618
491,"('ARGT', 'KBE')",0.040938767978699164
492,"('ARGT', 'KFYP')",0.03182136916027349
493,"('ARGT', 'KRE')",0.04221010811627368
494,"('ARGT', 'LABU')",0.01142768296523023
495,"('ARKG', 'BIB')",0.020224607072525328
496,"('ARKG', 'BZQ')",0.021165539095782164
497,"('ARKG', 'DUST')",0.018747890283016252
498,"('ARKG', 'EDZ')",0.02783073210487707
499,"('ARKG', 'EEV')",0.04291523171584433
500,"('ARKG', 'ENZL')",0.014396571205469267
501,"('ARKG', 'FPXI')",0.015690987869435735
502,"('ARKG', 'IBB')",0.028886347620086326
503,"('ARKG', 'JDST')",0.020433268249528926
504,"('ARKG', 'JNUG')",0.01987283101505138
505,"('ARKK', 'BBC')",0.0015574964157173594
506,"('ARKK', 'BIB')",0.007631557770957343
507,"('ARKK', 'BZQ')",0.022691611044998415
508,"('ARKK', 'EDZ')",0.04028079159420805
509,"('ARKK', 'FXP')",0.015553217930726304
510,"('ARKK', 'IBB')",0.004063961034405023
511,"('ARKK', 'JNUG')",0.00014826173616143214
512,"('ARKQ', 'BBC')",0.02390560471431302
513,"('ARKQ', 'BBH')",0.0015173742836691556
514,"('ARKQ', 'BIB')",7.049056291937711e-05
515,"('ARKQ', 'BIS')",0.009479959952513014
516,"('ARKQ', 'BRZU')",0.04994857095542726
517,"('ARKQ', 'CHAD')",0.04601411048321955
518,"('ARKQ', 'EDZ')",0.00030140895350876996
519,"('ARKQ', 'EEV')",0.0022613450762034282
520,"('ARKQ', 'EUM')",0.028162056058667128
521,"('ARKQ', 'EWV')",0.007068805749350538
522,"('ARKQ', 'IBB')",8.927095763023653e-07
523,"('ARKQ', 'IPO')",0.02949917294098351
524,"('ARKQ', 'JNUG')",0.0005718233283383452
525,"('ARKW', 'BBC')",0.00023905719014930763
526,"('ARKW', 'BIB')",0.0018967777861848103
