,pair,data,sharpe
31,"[('BIS', 'ITEQ')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.284175
2021-12-28    1.284175
2021-12-29    1.284175
2021-12-30    1.284175
2021-12-31    1.284175
Name: cum_rets, Length: 1511, dtype: float64",0.791050484370258
32,"[('BIS', 'IWF')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.309798
2021-12-28    1.309798
2021-12-29    1.309798
2021-12-30    1.309798
2021-12-31    1.309798
Name: cum_rets, Length: 1511, dtype: float64",0.9575360731809615
33,"[('BIS', 'IWP')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.289302
2021-12-28    1.289302
2021-12-29    1.289302
2021-12-30    1.289302
2021-12-31    1.289302
Name: cum_rets, Length: 1511, dtype: float64",0.8186526687638103
34,"[('BIS', 'IWY')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.327121
2021-12-28    1.327121
2021-12-29    1.327121
2021-12-30    1.327121
2021-12-31    1.327121
Name: cum_rets, Length: 1511, dtype: float64",0.9571466358702481
35,"[('BIS', 'IXN')]","Date
2016-01-04        NaN
2016-01-05    1.00000
2016-01-06    1.00000
2016-01-07    1.00000
2016-01-08    1.00000
               ...   
2021-12-27    1.38607
2021-12-28    1.38607
2021-12-29    1.38607
2021-12-30    1.38607
2021-12-31    1.38607
Name: cum_rets, Length: 1511, dtype: float64",1.0138058761524644
36,"[('BIS', 'IYW')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.356164
2021-12-28    1.356164
2021-12-29    1.356164
2021-12-30    1.356164
2021-12-31    1.356164
Name: cum_rets, Length: 1511, dtype: float64",0.9829535767598481
37,"[('BIS', 'JDST')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.428871
2021-12-28    1.428871
2021-12-29    1.428871
2021-12-30    1.428871
2021-12-31    1.428871
Name: cum_rets, Length: 1511, dtype: float64",0.6945928577169609
38,"[('BIS', 'MGK')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.333836
2021-12-28    1.333836
2021-12-29    1.333836
2021-12-30    1.333836
2021-12-31    1.333836
Name: cum_rets, Length: 1511, dtype: float64",0.9873789014288024
39,"[('BJK', 'LABU')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.266389
2021-12-28    1.266389
2021-12-29    1.266389
2021-12-30    1.266389
2021-12-31    1.266389
Name: cum_rets, Length: 1511, dtype: float64",0.5307041062333911
40,"[('BKF', 'LABU')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.250212
2021-12-28    1.250212
2021-12-29    1.250212
2021-12-30    1.250212
2021-12-31    1.250212
Name: cum_rets, Length: 1511, dtype: float64",0.5043205956592001
41,"[('BRF', 'EGPT')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.113811
2021-12-28    1.113811
2021-12-29    1.113811
2021-12-30    1.113811
2021-12-31    1.113811
Name: cum_rets, Length: 1511, dtype: float64",0.5868308173025888
42,"[('BRF', 'GOEX')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.409351
2021-12-28    1.409351
2021-12-29    1.409351
2021-12-30    1.409351
2021-12-31    1.409351
Name: cum_rets, Length: 1511, dtype: float64",1.2199350913018718
43,"[('BRF', 'MLPO')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.356563
2021-12-28    1.356563
2021-12-29    1.356563
2021-12-30    1.356563
2021-12-31    1.356563
Name: cum_rets, Length: 1511, dtype: float64",0.6156611773859134
44,"[('BRZU', 'ICLN')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.195023
2021-12-28    1.195023
2021-12-29    1.195023
2021-12-30    1.195023
2021-12-31    1.195023
Name: cum_rets, Length: 1511, dtype: float64",0.7588822117740318
45,"[('BZQ', 'CHAU')]","Date
2016-01-04         NaN
2016-01-05    1.000000
2016-01-06    1.000000
2016-01-07    1.000000
2016-01-08    1.000000
                ...   
2021-12-27    1.416959
2021-12-28    1.416959
2021-12-29    1.416959
2021-12-30    1.416959
2021-12-31    1.416959
Name: cum_rets, Length: 1511, dtype: float64",0.608918175096446
