,pairs,p_values
193,"('ACWX', 'CSD')",0.017615335817394415
194,"('ACWX', 'EDEN')",0.012121533266670722
195,"('ACWX', 'EFAD')",0.041689057336836
196,"('ACWX', 'EWD')",0.0141002451785754
197,"('ACWX', 'EWGS')",0.024381479878520258
198,"('ACWX', 'FAN')",0.013645154539493632
199,"('ACWX', 'FDN')",0.005829690879484758
200,"('ACWX', 'FDTS')",0.005565301194653927
201,"('ACWX', 'FEUZ')",0.018437135262883094
202,"('ACWX', 'FGM')",0.04406894904080011
203,"('ACWX', 'FPX')",0.013643791928968885
204,"('ACWX', 'HACK')",0.021362821311251345
205,"('ACWX', 'IEFA')",0.03916264924349595
206,"('ACWX', 'IEUS')",0.023765416067848533
207,"('ACWX', 'IPO')",0.021048533338249416
208,"('ACWX', 'ISCF')",0.018584215463265625
209,"('ACWX', 'ITEQ')",0.008225612619618404
210,"('ACWX', 'NORW')",0.022652525244323082
211,"('ACWX', 'PDN')",0.048985556452766636
212,"('ACWX', 'PEX')",0.007218581356246176
213,"('ACWX', 'PTH')",0.04866604988603549
214,"('ACWX', 'QYLD')",0.032886098971033485
215,"('ACWX', 'RNRG')",0.0038261250791105125
216,"('ACWX', 'SBIO')",0.041057695310197734
217,"('ACWX', 'SCHC')",0.012288032559145828
218,"('ACWX', 'SCZ')",0.041699942475234016
219,"('ACWX', 'SIL')",0.04334344036776098
220,"('ACWX', 'SPEM')",0.020669521040524136
221,"('ACWX', 'TLTD')",0.03707687636655063
222,"('ACWX', 'TUR')",0.0025899743982535843
223,"('ACWX', 'VSS')",0.00023571269274018754
224,"('ACWX', 'XBI')",0.04226348339731671
225,"('ACWX', 'XHE')",0.0263449998790633
226,"('ACWX', 'XSW')",0.04292601435349759
227,"('ADRE', 'BICK')",0.014442401998727135
228,"('ADRE', 'DBEM')",0.018156120176602883
229,"('ADRE', 'EDC')",0.04167312110016115
230,"('ADRE', 'EEM')",0.04042751581157811
231,"('ADRE', 'EPP')",0.01653683382429821
232,"('ADRE', 'EWH')",0.03592608264336992
233,"('ADRE', 'FDN')",0.03785903815079011
234,"('ADRE', 'FPA')",0.04840716207040846
235,"('ADRE', 'GXC')",0.0214208748800011
236,"('ADRE', 'IEMG')",0.04973933034119331
237,"('ADRE', 'IPOS')",0.03683855951044971
238,"('ADRE', 'MCHI')",0.02443306629013626
239,"('ADRE', 'NGE')",0.027857798030808626
240,"('ADRE', 'PAK')",0.023829318547318058
241,"('ADRE', 'PBJ')",0.0480781162683607
242,"('ADRE', 'PNQI')",0.0344242305245812
243,"('ADRE', 'PSJ')",0.013462620462184187
244,"('ADRE', 'SOCL')",0.028741134263808758
245,"('ADRE', 'VIDI')",0.009326637373522675
246,"('ADRE', 'XPH')",0.018690288519270747
247,"('ADRE', 'XPP')",0.03639442980063487
248,"('ADRE', 'YINN')",0.02191002407343471
249,"('AFK', 'ARKK')",0.0030341702149451174
250,"('AFK', 'ARKW')",0.020187007481777177
251,"('AFK', 'BKF')",0.04573756719732811
252,"('AFK', 'CHIQ')",0.02964682717918992
253,"('AFK', 'EMQQ')",0.04343273010638542
254,"('AFK', 'EPP')",0.00026312899586695444
255,"('AFK', 'EWA')",0.008555971263816643
256,"('AFK', 'FDN')",0.013560722648806051
257,"('AFK', 'FNI')",0.01825965059675399
258,"('AFK', 'FXI')",0.041769065834723736
